Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-01-19;2935.2;2935.2;2935.2;2935.2;7338.0
2022-01-28;5657.0;5657.0;5657.0;5657.0;101.826
2022-02-03;3126.4;3126.4;3126.4;3126.4;156.32
2022-02-14;3373.6;3373.6;3322.4;3322.4;1021.6952
2022-03-07;3440.8;3440.8;3440.8;3440.8;101.5036
2022-04-05;2640.0;2650.0;2638.0;2650.0;26445.0
2022-04-19;4192.0;4192.0;4192.0;4192.0;20.96
2022-05-09;4066.0;4066.0;4066.0;4066.0;2.033
2022-05-10;3975.2;3975.2;3975.2;3975.2;11645.3484
2022-05-11;3768.0;3831.6;3768.0;3831.6;11178.921
2022-06-03;1805.0;1805.0;1805.0;1805.0;3000.8125
2022-06-10;2192.0;2192.0;2192.0;2192.0;3644.2
2022-06-17;3531.2;3531.6;3531.2;3531.6;92717.8216
2022-06-23;3570.8;3570.8;3570.8;3570.8;4104.6346
2022-06-30;4336.0;4336.0;4336.0;4336.0;520.32
2022-07-01;4760.0;4760.0;4760.0;4760.0;571.2
2022-07-04;4833.0;4833.0;4833.0;4833.0;16016.562
2022-07-19;3190.0;3190.0;3190.0;3190.0;3130.985
2022-07-20;2935.6;2935.6;2935.6;2935.6;7776.4044
2022-08-08;1725.6;1725.6;1725.6;1725.6;215.7
2022-08-11;1636.2;1643.0;1636.2;1643.0;4093.9
2022-08-26;1944.2;1944.2;1944.2;1944.2;97.21
2022-08-30;2360.0;2360.0;2354.0;2354.0;2614.436
2022-08-31;2610.4;2610.4;2610.4;2610.4;195.78
2022-09-02;2756.0;2756.0;2756.0;2756.0;10963.368
2022-09-07;3194.8;3194.8;3194.8;3194.8;54311.6
2022-09-09;2537.2;2537.2;2537.2;2537.2;101.488
2022-09-12;2370.0;2378.0;2370.0;2378.0;2631.923
2022-09-13;2480.0;3000.0;2480.0;3000.0;13320.0
2022-09-14;3126.4;3315.2;3118.8;3176.0;83098.0808
2022-09-16;3401.2;3410.0;3391.2;3410.0;73614.396
2022-09-19;3290.0;3290.0;3280.0;3280.0;2709.25
2022-09-22;3651.2;3870.0;3651.2;3870.0;66006.19
2022-10-03;4934.0;4934.0;4934.0;4934.0;9793.99
2022-10-05;4512.0;4512.0;4512.0;4512.0;18.048
2022-10-12;6400.0;6400.0;6400.0;6400.0;3840.0
2022-10-13;6468.0;6468.0;6468.0;6468.0;3880.8
2022-10-24;6218.0;6218.0;6218.0;6218.0;10847.301
2022-11-02;5056.0;5056.0;5056.0;5056.0;10364.8
2022-11-10;4808.0;4808.0;4808.0;4808.0;1016.892
2022-11-15;2086.0;2086.0;1912.4;1912.4;27227.218
2022-11-16;2184.4;2184.4;2184.4;2184.4;22937.2922
2022-11-25;1970.0;1970.0;1970.0;1970.0;4925.0
2022-11-28;2022.0;2110.0;2022.0;2110.0;15605.0
2022-11-29;2150.0;2150.0;2110.0;2110.0;7992.5
2022-11-30;2130.0;2188.0;2066.4;2160.0;46674.628
2022-12-01;1716.0;1826.0;1694.0;1826.0;26218.025
2022-12-02;1809.2;1936.0;1809.2;1886.0;18648.736
2022-12-05;1942.0;1997.2;1942.0;1997.2;18918.2
2022-12-09;2402.0;2402.0;2324.4;2328.0;34399.0
2022-12-13;1997.2;1997.2;1997.2;1997.2;13680.82
