Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-17;8.023;8.023;8.023;8.023;2631.544
2022-06-24;8.348;8.348;8.337;8.337;16684.78
2022-07-05;8.342;8.342;8.342;8.342;8342.0
2022-07-13;8.569;8.569;8.569;8.569;342.76
2022-07-14;8.534;8.534;8.534;8.534;7936.62
2022-07-22;8.839;8.858;8.839;8.858;8220.65
2022-09-21;8.592;8.613;8.592;8.613;16172.7
2022-09-26;8.433;8.433;8.433;8.433;8011.35
2022-09-27;8.46;8.46;8.46;8.46;8037.0
2022-09-28;8.334;8.334;8.334;8.334;7833.96
2022-09-30;8.219;8.219;8.219;8.219;7972.43
2022-10-03;8.189;8.203;8.189;8.203;16064.16
2023-01-30;8.591;8.591;8.575;8.575;23946.57
2023-02-22;8.609;8.609;8.609;8.609;8006.37
2023-02-23;8.663;8.663;8.663;8.663;693.04
2023-05-23;8.897;8.897;8.897;8.897;1334.55
2023-06-22;8.95;8.95;8.95;8.95;179.0
2023-07-27;9.333;9.333;9.333;9.333;8119.71
2023-08-01;9.295;9.297;9.292;9.292;38194.678
2023-08-02;9.185;9.185;9.185;9.185;8542.05
2023-08-03;9.154;9.154;9.154;9.154;604.164
2023-08-07;9.089;9.089;9.089;9.089;7998.32
2023-08-22;8.95;8.95;8.95;8.95;179.0
2023-09-18;9.25;9.25;9.25;9.25;8047.5
2023-09-28;8.91;8.91;8.91;8.91;40095.0
2023-10-11;9.095;9.099;9.064;9.064;580008.067
2023-10-17;9.046;9.051;9.045;9.051;102462.866
2023-10-23;8.644;8.644;8.644;8.644;4503.524
2023-11-15;9.123;9.123;9.123;9.123;1368.45
2023-12-22;9.572;9.573;9.572;9.573;22168.998
2024-01-02;9.648;9.648;9.648;9.648;10554.912
2024-01-03;9.531;9.531;9.531;9.531;10426.914
2024-01-08;9.55;9.55;9.55;9.55;10552.75
2024-02-12;10.192;10.192;10.192;10.192;3057.6
2024-02-13;10.12;10.12;10.12;10.12;404.8
2024-03-15;10.282;10.282;10.282;10.282;10282.0
2024-06-14;10.9;10.9;10.9;10.9;3738.7
2024-06-21;10.966;10.974;10.966;10.974;21014.37
2024-07-10;11.096;11.096;11.096;11.096;17753.6
2024-07-19;10.968;10.968;10.958;10.958;17697.32
2024-07-25;10.804;10.82;10.804;10.82;17292.864
2024-08-05;10.072;10.072;10.072;10.072;201.44
2024-09-25;11.274;11.274;11.274;11.274;101.466
2024-10-16;11.66;11.66;11.66;11.66;151.58
2024-10-21;11.716;11.716;11.716;11.716;210.888
2024-11-07;11.838;11.838;11.838;11.838;6001.866
2025-01-09;12.118;12.118;12.118;12.118;799.788
2025-01-13;11.954;11.954;11.95;11.95;57014.22
2025-01-15;11.962;12.092;11.962;12.092;20464.5
2025-01-27;11.992;11.992;11.992;11.992;56122.56
2025-02-03;12.294;12.294;12.294;12.294;196.704
2025-02-11;12.418;12.418;12.4;12.4;5103.618
2025-02-20;12.474;12.474;12.474;12.474;5002.074
2025-02-25;12.206;12.206;12.206;12.206;4894.606
2025-03-18;11.362;11.362;11.318;11.334;28097.518
2025-03-19;11.316;11.316;11.316;11.316;5001.672
2025-03-26;11.594;11.594;11.594;11.594;4997.014
2025-04-04;10.312;10.312;10.312;10.312;2382.072
2025-04-07;9.496;9.957;9.496;9.957;389.06
2025-04-08;10.252;10.252;10.252;10.252;164.032
2025-04-23;10.564;10.564;10.53;10.53;63.282
2025-05-08;11.064;11.064;11.064;11.064;10632.504
2025-05-22;11.414;11.414;11.414;11.414;2579.564
2025-06-11;11.58;11.58;11.58;11.58;4990.98
2025-06-13;11.386;11.386;11.386;11.386;45.544
2025-06-23;11.352;11.352;11.352;11.352;10534.656
2025-07-08;11.564;11.564;11.564;11.564;3931.76
2025-07-28;11.878;11.982;11.878;11.952;1972.902
2025-07-30;12.032;12.034;12.032;12.032;142648.61
2025-08-04;11.798;11.798;11.798;11.798;9804.138
2025-08-05;11.946;11.946;11.86;11.86;476.12
2025-08-18;11.862;11.862;11.862;11.862;9857.322
2025-09-05;12.07;12.07;12.07;12.07;2414.0
